mapping_version	manifest_ordinal	go_symbol	family_contract_display_id	isa_ordinal_or_scalar	canonical_kernel_name	westmere_outcome	westmere_direct_symbol	westmere_na_reason	westmere_evidence_anchor	haswell_outcome	haswell_direct_symbol	haswell_na_reason	haswell_evidence_anchor	archsimd_outcome	archsimd_direct_symbol	archsimd_na_reason	archsimd_evidence_anchor	neon_outcome	neon_direct_symbol	neon_na_reason	neon_evidence_anchor
v1	56	ConvertValidUTF16ToUTF8	FC-v1-utf16-source	14		not_applicable		native_wrapper_delegates_explicit_endian	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2403	not_applicable		native_wrapper_delegates_explicit_endian	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2403	not_applicable		native_wrapper_delegates_explicit_endian	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2403	not_applicable		native_wrapper_delegates_explicit_endian	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2403
v1	57	ConvertValidUTF16ToLatin1	FC-v1-utf16-source	13		not_applicable		native_wrapper_delegates_explicit_endian	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2445	not_applicable		native_wrapper_delegates_explicit_endian	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2445	not_applicable		native_wrapper_delegates_explicit_endian	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2445	not_applicable		native_wrapper_delegates_explicit_endian	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2445
v1	58	ConvertValidUTF16LEToLatin1	FC-v1-utf16-source	13	convertUTF16LEToLatin1	eligible	convertValidUTF16LEToLatin1Westmere		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2487;611becc2a08c27a4edc77d9a45ff74c97130129b:src/westmere/sse_convert_utf16_to_latin1.cpp:1-1	eligible	convertValidUTF16LEToLatin1Haswell		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2487;611becc2a08c27a4edc77d9a45ff74c97130129b:src/haswell/avx2_convert_utf16_to_latin1.cpp:1-1	eligible	convertValidUTF16LEToLatin1Archsimd		simd/archsimd Go 1.26.5:FC-v1-utf16-source audit row; required primitives: endian u16 loads/swaps, surrogate carry, compare/narrow, UTF-8 table/shuffle/pack, pair combine/u32 widen, counts/first-error; available: archsimd/ops_amd64.go:Load,Store,Shuffle,And,Or,Xor; archsimd/compare_gen_amd64.go:Equal,LessThan; archsimd/maskmerge_gen_amd64.go:Mask	eligible	convertValidUTF16LEToLatin1NEON		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2487;611becc2a08c27a4edc77d9a45ff74c97130129b:src/arm64/arm_convert_utf16_to_latin1.cpp:1-1
v1	59	ConvertValidUTF16BEToLatin1	FC-v1-utf16-source	13	convertUTF16BEToLatin1	eligible	convertValidUTF16BEToLatin1Westmere		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2529;611becc2a08c27a4edc77d9a45ff74c97130129b:src/westmere/sse_convert_utf16_to_latin1.cpp:1-1	eligible	convertValidUTF16BEToLatin1Haswell		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2529;611becc2a08c27a4edc77d9a45ff74c97130129b:src/haswell/avx2_convert_utf16_to_latin1.cpp:1-1	eligible	convertValidUTF16BEToLatin1Archsimd		simd/archsimd Go 1.26.5:FC-v1-utf16-source audit row; required primitives: endian u16 loads/swaps, surrogate carry, compare/narrow, UTF-8 table/shuffle/pack, pair combine/u32 widen, counts/first-error; available: archsimd/ops_amd64.go:Load,Store,Shuffle,And,Or,Xor; archsimd/compare_gen_amd64.go:Equal,LessThan; archsimd/maskmerge_gen_amd64.go:Mask	eligible	convertValidUTF16BEToLatin1NEON		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2529;611becc2a08c27a4edc77d9a45ff74c97130129b:src/arm64/arm_convert_utf16_to_latin1.cpp:1-1
v1	60	ConvertValidUTF16LEToUTF8	FC-v1-utf16-source	14	convertUTF16LEToUTF8	eligible	convertValidUTF16LEToUTF8Westmere		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2567;611becc2a08c27a4edc77d9a45ff74c97130129b:src/westmere/sse_convert_utf16_to_utf8.cpp:1-1	eligible	convertValidUTF16LEToUTF8Haswell		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2567;611becc2a08c27a4edc77d9a45ff74c97130129b:src/haswell/avx2_convert_utf16_to_utf8.cpp:1-1	eligible	convertValidUTF16LEToUTF8Archsimd		simd/archsimd Go 1.26.5:FC-v1-utf16-source audit row; required primitives: endian u16 loads/swaps, surrogate carry, compare/narrow, UTF-8 table/shuffle/pack, pair combine/u32 widen, counts/first-error; available: archsimd/ops_amd64.go:Load,Store,Shuffle,And,Or,Xor; archsimd/compare_gen_amd64.go:Equal,LessThan; archsimd/maskmerge_gen_amd64.go:Mask	eligible	convertValidUTF16LEToUTF8NEON		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2567;611becc2a08c27a4edc77d9a45ff74c97130129b:src/arm64/arm_convert_utf16_to_utf8.cpp:1-1
v1	61	ConvertValidUTF16BEToUTF8	FC-v1-utf16-source	14	convertUTF16BEToUTF8	eligible	convertValidUTF16BEToUTF8Westmere		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2601;611becc2a08c27a4edc77d9a45ff74c97130129b:src/westmere/sse_convert_utf16_to_utf8.cpp:1-1	eligible	convertValidUTF16BEToUTF8Haswell		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2601;611becc2a08c27a4edc77d9a45ff74c97130129b:src/haswell/avx2_convert_utf16_to_utf8.cpp:1-1	eligible	convertValidUTF16BEToUTF8Archsimd		simd/archsimd Go 1.26.5:FC-v1-utf16-source audit row; required primitives: endian u16 loads/swaps, surrogate carry, compare/narrow, UTF-8 table/shuffle/pack, pair combine/u32 widen, counts/first-error; available: archsimd/ops_amd64.go:Load,Store,Shuffle,And,Or,Xor; archsimd/compare_gen_amd64.go:Equal,LessThan; archsimd/maskmerge_gen_amd64.go:Mask	eligible	convertValidUTF16BEToUTF8NEON		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2601;611becc2a08c27a4edc77d9a45ff74c97130129b:src/arm64/arm_convert_utf16_to_utf8.cpp:1-1
v1	62	ConvertUTF16ToUTF32	FC-v1-utf16-source	15		not_applicable		native_wrapper_delegates_explicit_endian	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2639	not_applicable		native_wrapper_delegates_explicit_endian	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2639	not_applicable		native_wrapper_delegates_explicit_endian	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2639	not_applicable		native_wrapper_delegates_explicit_endian	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2639
v1	63	ConvertUTF16LEToUTF32	FC-v1-utf16-source	15	convertUTF16LEToUTF32	eligible	convertUTF16LEToUTF32Westmere		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2673;611becc2a08c27a4edc77d9a45ff74c97130129b:src/westmere/sse_convert_utf16_to_utf32.cpp:1-1	eligible	convertUTF16LEToUTF32Haswell		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2673;611becc2a08c27a4edc77d9a45ff74c97130129b:src/haswell/avx2_convert_utf16_to_utf32.cpp:1-1	eligible	convertUTF16LEToUTF32Archsimd		simd/archsimd Go 1.26.5:FC-v1-utf16-source audit row; required primitives: endian u16 loads/swaps, surrogate carry, compare/narrow, UTF-8 table/shuffle/pack, pair combine/u32 widen, counts/first-error; available: archsimd/ops_amd64.go:Load,Store,Shuffle,And,Or,Xor; archsimd/compare_gen_amd64.go:Equal,LessThan; archsimd/maskmerge_gen_amd64.go:Mask	eligible	convertUTF16LEToUTF32NEON		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2673;611becc2a08c27a4edc77d9a45ff74c97130129b:src/arm64/arm_convert_utf16_to_utf32.cpp:1-1
v1	64	ConvertUTF16BEToUTF32	FC-v1-utf16-source	15	convertUTF16BEToUTF32	eligible	convertUTF16BEToUTF32Westmere		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2706;611becc2a08c27a4edc77d9a45ff74c97130129b:src/westmere/sse_convert_utf16_to_utf32.cpp:1-1	eligible	convertUTF16BEToUTF32Haswell		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2706;611becc2a08c27a4edc77d9a45ff74c97130129b:src/haswell/avx2_convert_utf16_to_utf32.cpp:1-1	eligible	convertUTF16BEToUTF32Archsimd		simd/archsimd Go 1.26.5:FC-v1-utf16-source audit row; required primitives: endian u16 loads/swaps, surrogate carry, compare/narrow, UTF-8 table/shuffle/pack, pair combine/u32 widen, counts/first-error; available: archsimd/ops_amd64.go:Load,Store,Shuffle,And,Or,Xor; archsimd/compare_gen_amd64.go:Equal,LessThan; archsimd/maskmerge_gen_amd64.go:Mask	eligible	convertUTF16BEToUTF32NEON		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2706;611becc2a08c27a4edc77d9a45ff74c97130129b:src/arm64/arm_convert_utf16_to_utf32.cpp:1-1
v1	65	ConvertUTF16ToUTF32WithErrors	FC-v1-utf16-source	15		not_applicable		native_wrapper_delegates_explicit_endian	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2742	not_applicable		native_wrapper_delegates_explicit_endian	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2742	not_applicable		native_wrapper_delegates_explicit_endian	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2742	not_applicable		native_wrapper_delegates_explicit_endian	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2742
