mapping_version	manifest_ordinal	go_symbol	family_contract_display_id	isa_ordinal_or_scalar	canonical_kernel_name	westmere_outcome	westmere_direct_symbol	westmere_na_reason	westmere_evidence_anchor	haswell_outcome	haswell_direct_symbol	haswell_na_reason	haswell_evidence_anchor	archsimd_outcome	archsimd_direct_symbol	archsimd_na_reason	archsimd_evidence_anchor	neon_outcome	neon_direct_symbol	neon_na_reason	neon_evidence_anchor
v1	1	AutodetectEncoding	FC-v1-detection	scalar		not_applicable		composite_wrapper_delegates_accelerated_core	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:202;dependency:DetectEncodings	not_applicable		composite_wrapper_delegates_accelerated_core	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:202;dependency:DetectEncodings	not_applicable		composite_wrapper_delegates_accelerated_core	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:202;dependency:DetectEncodings	not_applicable		composite_wrapper_delegates_accelerated_core	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:202;dependency:DetectEncodings
v1	2	DetectEncodings	FC-v1-detection	1	detectEncodings	eligible	detectEncodingsWestmere		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:238;api-manifest.tsv:DetectEncodings;isa-eligibility.tsv:DetectEncodings;upstream:src/westmere/implementation.cpp:156	eligible	detectEncodingsHaswell		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:238;api-manifest.tsv:DetectEncodings;isa-eligibility.tsv:DetectEncodings;upstream:src/haswell/implementation.cpp:155	eligible	detectEncodingsArchsimd		simd/archsimd Go 1.26.5:FC-v1-detection audit row; required primitives: mixed UTF-8/16/32 vector scans and mask reductions; available: archsimd/ops_amd64.go:Load,Store,Shuffle,And,Or,Xor; archsimd/compare_gen_amd64.go:Equal,LessThan; archsimd/maskmerge_gen_amd64.go:Mask	eligible	detectEncodingsNEON		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:238;api-manifest.tsv:DetectEncodings;isa-eligibility.tsv:DetectEncodings;upstream:src/arm64/implementation.cpp:212
v1	3	ValidateUTF16	FC-v1-helper-validation	4		not_applicable		native_wrapper_delegates_explicit_endian	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:477	not_applicable		native_wrapper_delegates_explicit_endian	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:477	not_applicable		native_wrapper_delegates_explicit_endian	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:477	not_applicable		native_wrapper_delegates_explicit_endian	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:477
v1	4	ValidateUTF16LE	FC-v1-helper-validation	4	validateUTF16LE	eligible	validateUTF16LEWestmere		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:510;api-manifest.tsv:ValidateUTF16LE;isa-eligibility.tsv:ValidateUTF16LE/BE, AsASCII, and WithErrors;upstream:src/westmere/sse_validate_utf16.cpp:2	eligible	validateUTF16LEHaswell		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:510;api-manifest.tsv:ValidateUTF16LE;isa-eligibility.tsv:ValidateUTF16LE/BE, AsASCII, and WithErrors;upstream:src/haswell/avx2_validate_utf16.cpp:2	eligible	validateUTF16LEArchsimd		simd/archsimd Go 1.26.5:FC-v1-helper-validation audit row; archsimd/ops_amd64.go:Load,Store,Shuffle,And,Or,Xor; archsimd/compare_gen_amd64.go:Equal,LessThan; archsimd/maskmerge_gen_amd64.go:Mask	eligible	validateUTF16LENEON		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:510;api-manifest.tsv:ValidateUTF16LE;isa-eligibility.tsv:ValidateUTF16LE/BE, AsASCII, and WithErrors;upstream:src/arm64/arm_validate_utf16.cpp:2
v1	5	ValidateUTF16BE	FC-v1-helper-validation	4	validateUTF16BE	eligible	validateUTF16BEWestmere		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:543;api-manifest.tsv:ValidateUTF16BE;isa-eligibility.tsv:ValidateUTF16LE/BE, AsASCII, and WithErrors;upstream:src/westmere/sse_validate_utf16.cpp:2	eligible	validateUTF16BEHaswell		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:543;api-manifest.tsv:ValidateUTF16BE;isa-eligibility.tsv:ValidateUTF16LE/BE, AsASCII, and WithErrors;upstream:src/haswell/avx2_validate_utf16.cpp:2	eligible	validateUTF16BEArchsimd		simd/archsimd Go 1.26.5:FC-v1-helper-validation audit row; archsimd/ops_amd64.go:Load,Store,Shuffle,And,Or,Xor; archsimd/compare_gen_amd64.go:Equal,LessThan; archsimd/maskmerge_gen_amd64.go:Mask	eligible	validateUTF16BENEON		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:543;api-manifest.tsv:ValidateUTF16BE;isa-eligibility.tsv:ValidateUTF16LE/BE, AsASCII, and WithErrors;upstream:src/arm64/arm_validate_utf16.cpp:2
v1	6	ValidateUTF16WithErrors	FC-v1-helper-validation	4		not_applicable		native_wrapper_delegates_explicit_endian	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:576	not_applicable		native_wrapper_delegates_explicit_endian	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:576	not_applicable		native_wrapper_delegates_explicit_endian	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:576	not_applicable		native_wrapper_delegates_explicit_endian	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:576
v1	7	ValidateUTF16LEWithErrors	FC-v1-helper-validation	4	validateUTF16LEWithErrors	eligible	validateUTF16LEWithErrorsWestmere		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:609;api-manifest.tsv:ValidateUTF16LEWithErrors;isa-eligibility.tsv:ValidateUTF16LE/BE, AsASCII, and WithErrors;upstream:src/westmere/sse_validate_utf16.cpp:2	eligible	validateUTF16LEWithErrorsHaswell		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:609;api-manifest.tsv:ValidateUTF16LEWithErrors;isa-eligibility.tsv:ValidateUTF16LE/BE, AsASCII, and WithErrors;upstream:src/haswell/avx2_validate_utf16.cpp:2	eligible	validateUTF16LEWithErrorsArchsimd		simd/archsimd Go 1.26.5:FC-v1-helper-validation audit row; archsimd/ops_amd64.go:Load,Store,Shuffle,And,Or,Xor; archsimd/compare_gen_amd64.go:Equal,LessThan; archsimd/maskmerge_gen_amd64.go:Mask	eligible	validateUTF16LEWithErrorsNEON		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:609;api-manifest.tsv:ValidateUTF16LEWithErrors;isa-eligibility.tsv:ValidateUTF16LE/BE, AsASCII, and WithErrors;upstream:src/arm64/arm_validate_utf16.cpp:2
v1	8	ValidateUTF16BEWithErrors	FC-v1-helper-validation	4	validateUTF16BEWithErrors	eligible	validateUTF16BEWithErrorsWestmere		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:642;api-manifest.tsv:ValidateUTF16BEWithErrors;isa-eligibility.tsv:ValidateUTF16LE/BE, AsASCII, and WithErrors;upstream:src/westmere/sse_validate_utf16.cpp:2	eligible	validateUTF16BEWithErrorsHaswell		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:642;api-manifest.tsv:ValidateUTF16LE/BE, AsASCII, and WithErrors;upstream:src/haswell/avx2_validate_utf16.cpp:2	eligible	validateUTF16BEWithErrorsArchsimd		simd/archsimd Go 1.26.5:FC-v1-helper-validation audit row; archsimd/ops_amd64.go:Load,Store,Shuffle,And,Or,Xor; archsimd/compare_gen_amd64.go:Equal,LessThan; archsimd/maskmerge_gen_amd64.go:Mask	eligible	validateUTF16BEWithErrorsNEON		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:642;api-manifest.tsv:ValidateUTF16BEWithErrors;isa-eligibility.tsv:ValidateUTF16LE/BE, AsASCII, and WithErrors;upstream:src/arm64/arm_validate_utf16.cpp:2
v1	9	ToWellFormedUTF16LE	FC-v1-helper-validation	6	toWellFormedUTF16LE	eligible	toWellFormedUTF16LEWestmere		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:671;api-manifest.tsv:ToWellFormedUTF16LE;isa-eligibility.tsv:ToWellFormedUTF16LE/BE;upstream:src/westmere/sse_utf16fix.cpp:2	eligible	toWellFormedUTF16LEHaswell		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:671;api-manifest.tsv:ToWellFormedUTF16LE;isa-eligibility.tsv:ToWellFormedUTF16LE/BE;upstream:src/haswell/avx2_utf16fix.cpp:2	eligible	toWellFormedUTF16LEArchsimd		simd/archsimd Go 1.26.5:FC-v1-helper-validation audit row; archsimd/ops_amd64.go:Load,Store,Shuffle,And,Or,Xor; archsimd/compare_gen_amd64.go:Equal,LessThan; archsimd/maskmerge_gen_amd64.go:Mask	eligible	toWellFormedUTF16LENEON		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:671;api-manifest.tsv:ToWellFormedUTF16LE;isa-eligibility.tsv:ToWellFormedUTF16LE/BE;upstream:src/arm64/arm_utf16fix.cpp:2
v1	10	ToWellFormedUTF16BE	FC-v1-helper-validation	6	toWellFormedUTF16BE	eligible	toWellFormedUTF16BEWestmere		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:701;api-manifest.tsv:ToWellFormedUTF16BE;isa-eligibility.tsv:ToWellFormedUTF16LE/BE;upstream:src/westmere/sse_utf16fix.cpp:2	eligible	toWellFormedUTF16BEHaswell		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:701;api-manifest.tsv:ToWellFormedUTF16BE;isa-eligibility.tsv:ToWellFormedUTF16LE/BE;upstream:src/haswell/avx2_utf16fix.cpp:2	eligible	toWellFormedUTF16BEArchsimd		simd/archsimd Go 1.26.5:FC-v1-helper-validation audit row; archsimd/ops_amd64.go:Load,Store,Shuffle,And,Or,Xor; archsimd/compare_gen_amd64.go:Equal,LessThan; archsimd/maskmerge_gen_amd64.go:Mask	eligible	toWellFormedUTF16BENEON		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:701;api-manifest.tsv:ToWellFormedUTF16BE;isa-eligibility.tsv:ToWellFormedUTF16LE/BE;upstream:src/arm64/arm_utf16fix.cpp:2
