mapping_version	manifest_ordinal	go_symbol	family_contract_display_id	isa_ordinal_or_scalar	canonical_kernel_name	westmere_outcome	westmere_direct_symbol	westmere_na_reason	westmere_evidence_anchor	haswell_outcome	haswell_direct_symbol	haswell_na_reason	haswell_evidence_anchor	archsimd_outcome	archsimd_direct_symbol	archsimd_na_reason	archsimd_evidence_anchor	neon_outcome	neon_direct_symbol	neon_na_reason	neon_evidence_anchor
v1	21	ConvertUTF8ToLatin1	FC-v1-utf8-source	10	convertUTF8ToLatin1	eligible	convertUTF8ToLatin1Westmere		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1030;611becc2a08c27a4edc77d9a45ff74c97130129b:src/westmere/sse_convert_utf8_to_latin1.cpp	eligible	convertUTF8ToLatin1Haswell		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1030;611becc2a08c27a4edc77d9a45ff74c97130129b:src/haswell/avx2_convert_utf8_to_latin1.cpp	eligible	convertUTF8ToLatin1Archsimd		simd/archsimd Go 1.26.5:FC-v1-utf8-source audit row; required primitives: byte classification, lookup/shuffle, error masks, compaction, u16/u32 widening, surrogate construction, endian stores, first-error; available: archsimd/ops_amd64.go:Load,Store,Shuffle,And,Or,Xor; archsimd/compare_gen_amd64.go:Equal,LessThan; archsimd/maskmerge_gen_amd64.go:Mask	eligible	convertUTF8ToLatin1NEON		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1030;611becc2a08c27a4edc77d9a45ff74c97130129b:src/arm64/arm_convert_utf8_to_latin1.cpp
v1	22	ConvertUTF8ToUTF16	FC-v1-utf8-source	11		not_applicable		native_wrapper_delegates_explicit_endian	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1067	not_applicable		native_wrapper_delegates_explicit_endian	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1067	not_applicable		native_wrapper_delegates_explicit_endian	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1067	not_applicable		native_wrapper_delegates_explicit_endian	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1067
v1	23	UTF8LengthFromUTF16LEWithReplacement	FC-v1-utf16-source	19	utf8LengthFromUTF16LEWithReplacement	eligible	utf8LengthFromUTF16LEWithReplacementWestmere		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1103;611becc2a08c27a4edc77d9a45ff74c97130129b:src/westmere/implementation.cpp	eligible	utf8LengthFromUTF16LEWithReplacementHaswell		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1103;611becc2a08c27a4edc77d9a45ff74c97130129b:src/haswell/implementation.cpp	eligible	utf8LengthFromUTF16LEWithReplacementArchsimd		simd/archsimd Go 1.26.5:FC-v1-utf16-source audit row; required primitives: endian u16 loads/swaps, surrogate carry, compare/narrow, UTF-8 table/shuffle/pack, pair combine/u32 widen, counts/first-error; available: archsimd/ops_amd64.go:Load,Store,Shuffle,And,Or,Xor; archsimd/compare_gen_amd64.go:Equal,LessThan; archsimd/maskmerge_gen_amd64.go:Mask	eligible	utf8LengthFromUTF16LEWithReplacementNEON		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1103;611becc2a08c27a4edc77d9a45ff74c97130129b:src/arm64/implementation.cpp
v1	24	UTF8LengthFromUTF16BEWithReplacement	FC-v1-utf16-source	19	utf8LengthFromUTF16BEWithReplacement	eligible	utf8LengthFromUTF16BEWithReplacementWestmere		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1139;611becc2a08c27a4edc77d9a45ff74c97130129b:src/westmere/implementation.cpp	eligible	utf8LengthFromUTF16BEWithReplacementHaswell		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1139;611becc2a08c27a4edc77d9a45ff74c97130129b:src/haswell/implementation.cpp	eligible	utf8LengthFromUTF16BEWithReplacementArchsimd		simd/archsimd Go 1.26.5:FC-v1-utf16-source audit row; required primitives: endian u16 loads/swaps, surrogate carry, compare/narrow, UTF-8 table/shuffle/pack, pair combine/u32 widen, counts/first-error; available: archsimd/ops_amd64.go:Load,Store,Shuffle,And,Or,Xor; archsimd/compare_gen_amd64.go:Equal,LessThan; archsimd/maskmerge_gen_amd64.go:Mask	eligible	utf8LengthFromUTF16BEWithReplacementNEON		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1139;611becc2a08c27a4edc77d9a45ff74c97130129b:src/arm64/implementation.cpp
v1	25	ConvertLatin1ToUTF16	FC-v1-latin1-source	8		not_applicable		native_wrapper_delegates_explicit_endian	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1169	not_applicable		native_wrapper_delegates_explicit_endian	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1169	not_applicable		native_wrapper_delegates_explicit_endian	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1169	not_applicable		native_wrapper_delegates_explicit_endian	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1169
v1	26	ConvertUTF8ToUTF16LE	FC-v1-utf8-source	11	convertUTF8ToUTF16LE	eligible	convertUTF8ToUTF16LEWestmere		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1202;611becc2a08c27a4edc77d9a45ff74c97130129b:src/westmere/sse_convert_utf8_to_utf16.cpp	eligible	convertUTF8ToUTF16LEHaswell		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1202;611becc2a08c27a4edc77d9a45ff74c97130129b:src/haswell/avx2_convert_utf8_to_utf16.cpp	eligible	convertUTF8ToUTF16LEArchsimd		simd/archsimd Go 1.26.5:FC-v1-utf8-source audit row; required primitives: byte classification, lookup/shuffle, error masks, compaction, u16/u32 widening, surrogate construction, endian stores, first-error; available: archsimd/ops_amd64.go:Load,Store,Shuffle,And,Or,Xor; archsimd/compare_gen_amd64.go:Equal,LessThan; archsimd/maskmerge_gen_amd64.go:Mask	eligible	convertUTF8ToUTF16LENEON		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1202;611becc2a08c27a4edc77d9a45ff74c97130129b:src/arm64/arm_convert_utf8_to_utf16.cpp
v1	27	ConvertUTF8ToUTF16BE	FC-v1-utf8-source	11	convertUTF8ToUTF16BE	eligible	convertUTF8ToUTF16BEWestmere		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1234;611becc2a08c27a4edc77d9a45ff74c97130129b:src/westmere/sse_convert_utf8_to_utf16.cpp	eligible	convertUTF8ToUTF16BEHaswell		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1234;611becc2a08c27a4edc77d9a45ff74c97130129b:src/haswell/avx2_convert_utf8_to_utf16.cpp	eligible	convertUTF8ToUTF16BEArchsimd		simd/archsimd Go 1.26.5:FC-v1-utf8-source audit row; required primitives: byte classification, lookup/shuffle, error masks, compaction, u16/u32 widening, surrogate construction, endian stores, first-error; available: archsimd/ops_amd64.go:Load,Store,Shuffle,And,Or,Xor; archsimd/compare_gen_amd64.go:Equal,LessThan; archsimd/maskmerge_gen_amd64.go:Mask	eligible	convertUTF8ToUTF16BENEON		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1234;611becc2a08c27a4edc77d9a45ff74c97130129b:src/arm64/arm_convert_utf8_to_utf16.cpp
v1	28	ConvertUTF8ToLatin1WithErrors	FC-v1-utf8-source	10	convertUTF8ToLatin1WithErrors	eligible	convertUTF8ToLatin1WithErrorsWestmere		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1273;611becc2a08c27a4edc77d9a45ff74c97130129b:src/westmere/sse_convert_utf8_to_latin1.cpp	eligible	convertUTF8ToLatin1WithErrorsHaswell		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1273;611becc2a08c27a4edc77d9a45ff74c97130129b:src/haswell/avx2_convert_utf8_to_latin1.cpp	eligible	convertUTF8ToLatin1WithErrorsArchsimd		simd/archsimd Go 1.26.5:FC-v1-utf8-source audit row; required primitives: byte classification, lookup/shuffle, error masks, compaction, u16/u32 widening, surrogate construction, endian stores, first-error; available: archsimd/ops_amd64.go:Load,Store,Shuffle,And,Or,Xor; archsimd/compare_gen_amd64.go:Equal,LessThan; archsimd/maskmerge_gen_amd64.go:Mask	eligible	convertUTF8ToLatin1WithErrorsNEON		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1273;611becc2a08c27a4edc77d9a45ff74c97130129b:src/arm64/arm_convert_utf8_to_latin1.cpp
v1	29	ConvertUTF8ToUTF16WithErrors	FC-v1-utf8-source	11		not_applicable		native_wrapper_delegates_explicit_endian	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1311	not_applicable		native_wrapper_delegates_explicit_endian	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1311	not_applicable		native_wrapper_delegates_explicit_endian	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1311	not_applicable		native_wrapper_delegates_explicit_endian	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1311
v1	30	ConvertUTF8ToUTF16LEWithErrors	FC-v1-utf8-source	11	convertUTF8ToUTF16LEWithErrors	eligible	convertUTF8ToUTF16LEWithErrorsWestmere		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1346;611becc2a08c27a4edc77d9a45ff74c97130129b:src/westmere/sse_convert_utf8_to_utf16.cpp	eligible	convertUTF8ToUTF16LEWithErrorsHaswell		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1346;611becc2a08c27a4edc77d9a45ff74c97130129b:src/haswell/avx2_convert_utf8_to_utf16.cpp	eligible	convertUTF8ToUTF16LEWithErrorsArchsimd		simd/archsimd Go 1.26.5:FC-v1-utf8-source audit row; required primitives: byte classification, lookup/shuffle, error masks, compaction, u16/u32 widening, surrogate construction, endian stores, first-error; available: archsimd/ops_amd64.go:Load,Store,Shuffle,And,Or,Xor; archsimd/compare_gen_amd64.go:Equal,LessThan; archsimd/maskmerge_gen_amd64.go:Mask	eligible	convertUTF8ToUTF16LEWithErrorsNEON		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1346;611becc2a08c27a4edc77d9a45ff74c97130129b:src/arm64/arm_convert_utf8_to_utf16.cpp
